/en/first_thing_we_do_lets_kill_all_the_lawyers,"First thing we do, let's kill all the lawyers."
/en/o_brave_new_world_that_has_such_people_int,"...O brave new world, That has such people in't!"
/m/02hylj7,"...the shifty, hangdog look which announces that an Englishman is about to talk French."
/m/02j6hm7,"Insanity is doing the same thing, over and over again, but expecting different results."
/m/02j6pcd,"An individual's reality model can be right or wrong, complete or incomplete. As a rule it will be both incomplete and wrong..."
/en/i_never_said_half_the_things_i_really_said,I never said half the things I really said
/m/02k7bmq,It ain't over till it's over
/en/i_want_to_thank_you_for_making_this_day_necessary,I want to thank you for making this day necessary.
/en/its_like_deja_vu_all_over_again,It's like déjà vu all over again.
/en/it_gets_late_early_out_there,It gets late early out there.
/m/02k7bnx,"I thought they said steak dinner, but then I found it was a state dinner..."
/en/nobody_goes_there_anymore_its_too_crowded,"Nobody goes there anymore, it's too crowded."
/en/you_can_observe_a_lot_by_just_watching,You can observe a lot by just watching.
/en/the_more_you_drive_the_less_intelligent_you_are,"The more you drive, the less intelligent you are."
/en/those_who_believe_in_telekinetics_raise_my_hand,"Those who believe in telekinetics, raise my hand"
/m/02k7lxm,"New knowledge is the most valuable commodity on earth. The more truth we have to work with, the richer we become."
/m/02k7lxy,"A celibate clergy is an especially good idea, because it tends to suppress any hereditary propensity toward fanaticism."
/m/02k7ly7,Humanity is acquiring all the right technology for all the wrong reasons.
/m/02k7l_v,"Sometimes I think we're alone. Sometimes I think we're not. In either case, the thought is staggering."
/en/seriousness_is_the_only_refuge_of_the_shallow,Seriousness is the only refuge of the shallow.
/en/i_am_not_young_enough_to_know_everything,I am not young enough to know everything.
/wikipedia/es_id/3155059,I'll Be Back
/m/02k7ywn,Two things fill the mind with ever new and increasing admiration and awe...
/en/if_we_dont_play_god_who_will,"If we don't play God, who will?"
/en/what_i_cannot_create_i_do_not_understand,"What I cannot create, I do not understand."
/quotationsbook/quote/11167,"What if everything is an illusion and nothing exists? In that case, I definitely overpaid for my carpet."
/m/02k827_,"However many ways there are of being alive, it is certain that there are vastly more ways of being dead, or rather not alive."
/en/this_isnt_right_this_isnt_even_wrong,This isn't right.  This isn't even wrong.
/m/02k8grz,It is an undeniable privilege of every man to prove himself right in the thesis that the world is his enemy; for if he reiterates it frequently enough and makes it the background of his conduct he is bound eventually to be right.
/en/pride_is_all_very_well_but_a_sausage_is_a_sausage,"Pride is all very well, but a sausage is a sausage"
/m/02k9bkv,A point in every direction is the same as no point at all.
/m/02kb2zb,"Most people are fools, most authority is malignant, God does not exist, and everything is wrong"
/en/information_is_a_difference_that_makes_a_difference,Information...is a difference that makes a difference.
/en/the_map_is_not_the_territory,The map is not the territory.
/en/quality_is_value_to_some_person,Quality is value to some person.
/m/02kbfhm,Testing is an empirical investigation conducted to provide stakeholders with information about the quality of the software under test.
/m/02kbfl9,Testing is questioning a product in order to evaluate it.
/m/02kdjdr,PrepBut nI vrbLike adjHungarian! qWhat's artThe adjBig nProblem?
